source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
property_prices_in_tunisia,677,house,Ariana,Ennasr,Ennasr,Ennasr,226.0,3.0,2.0,550000.0
property_prices_in_tunisia,682,house,Ariana,Mnihla,Mnihla,Mnihla,150.0,2.0,1.0,120000.0
property_prices_in_tunisia,684,house,Ariana,La Soukra,La Soukra,La Soukra,1000.0,3.0,3.0,1700000.0
property_prices_in_tunisia,685,house,Ariana,La Soukra,La Soukra,La Soukra,450.0,4.0,2.0,1200000.0
property_prices_in_tunisia,689,apartment,Ariana,Ariana,Ariana,Ariana,152.0,3.0,1.0,260000.0
property_prices_in_tunisia,693,apartment,Ariana,Ghazela,Ghazela,Ghazela,67.0,1.0,1.0,160000.0
property_prices_in_tunisia,695,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,74.0,3.0,1.0,180000.0
property_prices_in_tunisia,696,house,Ariana,Ennasr,Ennasr,Ennasr,207.0,3.0,2.0,600000.0
property_prices_in_tunisia,700,house,Ariana,Ariana,Ariana,Ariana,516.0,4.0,1.0,850000.0
property_prices_in_tunisia,706,house,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,280.0,5.0,3.0,460000.0
property_prices_in_tunisia,708,house,Ariana,Ariana,Ariana,Ariana,400.0,7.0,2.0,550000.0
property_prices_in_tunisia,709,house,Ariana,Ettadhamen,Ettadhamen,Ettadhamen,267.0,6.0,2.0,220000.0
property_prices_in_tunisia,716,apartment,Ariana,Ennasr,Ennasr,Ennasr,135.0,3.0,1.0,345000.0
property_prices_in_tunisia,719,apartment,Ariana,La Soukra,La Soukra,La Soukra,125.0,2.0,2.0,312000.0
property_prices_in_tunisia,721,apartment,Ariana,La Soukra,La Soukra,La Soukra,96.0,3.0,1.0,165000.0
property_prices_in_tunisia,722,apartment,Ariana,Ariana,Ariana,Ariana,91.0,2.0,1.0,185000.0
property_prices_in_tunisia,725,apartment,Ariana,La Soukra,La Soukra,La Soukra,63.0,1.0,1.0,175000.0
property_prices_in_tunisia,726,apartment,Ariana,Ennasr,Ennasr,Ennasr,100.0,2.0,1.0,250000.0
property_prices_in_tunisia,745,house,Ariana,Mnihla,Mnihla,Mnihla,202.0,4.0,1.0,260000.0
property_prices_in_tunisia,748,house,Ariana,Mnihla,Mnihla,Mnihla,100.0,4.0,1.0,95000.0
property_prices_in_tunisia,755,apartment,Ariana,Ennasr,Ennasr,Ennasr,133.0,2.0,1.0,356000.0
property_prices_in_tunisia,757,apartment,Ariana,Ennasr,Ennasr,Ennasr,81.0,2.0,1.0,260000.0
property_prices_in_tunisia,761,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,85.0,2.0,1.0,150000.0
property_prices_in_tunisia,762,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,112.0,3.0,1.0,185000.0
property_prices_in_tunisia,764,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,50.0,2.0,1.0,68000.0
property_prices_in_tunisia,769,apartment,Ariana,La Soukra,La Soukra,La Soukra,100.0,3.0,1.0,270000.0
